Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
229291,7.78,19.27,1005.24,39.61,66.88,Warning
231311,7.78,19.27,1005.24,39.51,66.88,Warning
233331,7.78,19.27,1005.24,39.43,66.88,Warning
235351,6.69,19.27,1005.25,39.42,66.86,Warning
237371,5.52,19.26,1005.25,39.45,66.85,Warning
239391,5.20,19.25,1005.23,39.41,66.98,Warning
241411,5.04,19.25,1005.23,39.41,66.95,Warning
243431,5.04,19.25,1005.24,39.40,66.89,Warning
245453,4.73,19.25,1005.24,39.36,66.87,Safe
247473,4.73,19.24,1005.25,39.31,66.86,Safe
249493,4.73,19.24,1005.24,39.33,66.87,Safe
251513,4.43,19.24,1005.25,39.29,66.85,Safe
253533,4.28,19.23,1005.24,39.29,66.89,Safe
255553,3.99,19.23,1005.24,39.30,66.87,Safe
257573,3.85,19.22,1005.24,39.30,66.87,Safe
259593,3.99,19.22,1005.24,39.31,66.86,Safe
261613,3.99,19.22,1005.24,39.28,66.92,Safe
263633,3.85,19.21,1005.24,39.30,66.92,Safe
265653,3.71,19.21,1005.24,39.25,66.91,Safe
267675,3.71,19.20,1005.23,39.25,66.96,Safe
269695,3.85,19.20,1005.23,39.19,66.97,Safe
271715,3.71,19.20,1005.23,39.21,66.98,Safe
273735,3.71,19.19,1005.22,39.23,67.03,Safe
275755,3.71,19.18,1005.22,39.32,67.06,Safe
277775,3.71,19.18,1005.23,39.34,67.02,Safe
279795,3.58,19.18,1005.23,39.34,66.99,Safe
281815,3.58,19.18,1005.24,39.37,66.94,Safe
283835,3.58,19.17,1005.24,39.35,66.90,Safe
285855,3.99,19.17,1005.25,39.32,66.85,Safe
287875,3.99,19.17,1005.24,39.26,66.86,Safe
289895,4.14,19.16,1005.25,39.30,66.82,Safe
291917,3.99,19.16,1005.25,39.36,66.82,Safe
293937,3.99,19.15,1005.26,39.35,66.73,Safe
295957,3.99,19.15,1005.26,39.39,66.72,Safe
297977,4.73,19.14,1005.26,39.40,66.70,Safe
299997,5.35,19.14,1005.27,39.56,66.69,Warning
302017,6.01,19.13,1005.27,39.57,66.66,Warning
304037,6.52,19.13,1005.27,39.52,66.68,Warning
306057,7.05,19.13,1005.27,39.50,66.68,Warning
308077,7.78,19.13,1005.27,39.46,66.68,Warning
310097,7.05,19.13,1005.27,39.47,66.66,Warning
312117,6.35,19.12,1005.27,39.46,66.66,Warning
314139,5.84,19.12,1005.28,39.48,66.61,Warning
316159,5.68,19.12,1005.28,39.53,66.60,Warning
318179,5.84,19.12,1005.27,39.52,66.62,Warning
320199,5.20,19.12,1005.28,39.52,66.60,Warning
322219,5.20,19.12,1005.28,39.48,66.56,Warning
324239,4.73,19.12,1005.28,39.51,66.55,Safe
326259,4.43,19.12,1005.29,39.51,66.51,Safe
328279,4.14,19.11,1005.29,39.56,66.52,Safe
330299,4.14,19.11,1005.29,39.59,66.52,Safe
332319,3.99,19.11,1005.29,39.60,66.52,Safe
334339,3.85,19.11,1005.29,39.58,66.52,Safe
336361,3.85,19.11,1005.29,39.52,66.51,Safe
338381,3.99,19.10,1005.29,39.53,66.51,Safe
340401,4.14,19.10,1005.28,39.54,66.54,Safe
342421,3.99,19.10,1005.29,39.58,66.52,Safe
344441,3.71,19.09,1005.29,39.59,66.51,Safe
346461,3.85,19.09,1005.28,39.61,66.54,Safe
348481,3.99,19.09,1005.29,39.65,66.52,Safe
350501,4.43,19.09,1005.28,39.67,66.53,Safe
352521,4.73,19.09,1005.28,39.65,66.53,Safe
354541,4.73,19.09,1005.29,39.67,66.50,Safe
356561,4.73,19.08,1005.29,39.71,66.52,Safe
358581,4.58,19.08,1005.29,39.67,66.49,Safe
360610,4.28,19.08,1005.29,39.61,66.48,Safe
362630,4.28,19.08,1005.29,39.64,66.46,Safe
364650,4.28,19.07,1005.30,39.63,66.44,Safe
366670,3.99,19.07,1005.30,39.60,66.43,Safe
368690,3.85,19.07,1005.29,39.60,66.44,Safe
370710,3.71,19.06,1005.30,39.59,66.42,Safe
372730,3.58,19.06,1005.30,39.59,66.40,Safe
374750,3.71,19.06,1005.30,39.60,66.36,Safe
376770,3.99,19.06,1005.31,39.62,66.35,Safe
378790,3.85,19.06,1005.30,39.63,66.38,Safe
380810,4.14,19.05,1005.30,39.66,66.39,Safe
382830,3.99,19.05,1005.30,39.67,66.41,Safe
384852,4.14,19.05,1005.30,39.71,66.43,Safe
386872,3.85,19.05,1005.30,39.70,66.41,Safe
388892,3.58,19.04,1005.29,39.73,66.49,Safe
390912,3.58,19.04,1005.29,39.73,66.49,Safe
392932,3.58,19.04,1005.29,39.74,66.44,Safe
394952,3.85,19.04,1005.29,39.74,66.49,Safe
396972,4.28,19.03,1005.28,39.78,66.54,Safe
398992,4.58,19.03,1005.28,39.78,66.56,Safe
401012,4.28,19.03,1005.28,39.77,66.56,Safe
403032,4.28,19.03,1005.28,39.75,66.57,Safe
405052,4.43,19.03,1005.28,39.74,66.59,Safe
407074,4.28,19.02,1005.28,39.73,66.60,Safe
409094,3.99,19.02,1005.28,39.77,66.60,Safe
411114,4.88,19.02,1005.27,39.81,66.63,Safe
413134,5.52,19.02,1005.27,39.85,66.62,Warning
415154,5.04,19.01,1005.27,39.92,66.64,Warning
417174,5.84,19.01,1005.28,39.96,66.57,Warning
419194,6.35,18.99,1005.27,40.00,66.65,Warning
421214,6.69,18.99,1005.28,39.92,66.59,Warning
423234,6.52,18.99,1005.28,39.87,66.53,Warning
